orderId,orderDate,companyName,country,productName,categoryName,quantity,unitPrice,revenue
10285,"2006-08-20 00:00:00","Customer IRRVL",Germany,"Product HHYDP",Beverages,45,14.40,648.00
10294,"2006-08-30 00:00:00","Customer NYUHS",USA,"Product HHYDP",Beverages,18,14.40,259.20
10317,"2006-09-30 00:00:00","Customer DVFMB",USA,"Product HHYDP",Beverages,20,14.40,288.00
10348,"2006-11-07 00:00:00","Customer SNXOJ",Germany,"Product HHYDP",Beverages,15,14.40,216.00
10354,"2006-11-14 00:00:00","Customer AHXHT",Mexico,"Product HHYDP",Beverages,12,14.40,172.80
10370,"2006-12-03 00:00:00","Customer WNMAF",Switzerland,"Product HHYDP",Beverages,15,14.40,216.00
10406,"2007-01-07 00:00:00","Customer WFIZJ",Brazil,"Product HHYDP",Beverages,10,14.40,144.00
10413,"2007-01-14 00:00:00","Customer XIIWM",France,"Product HHYDP",Beverages,24,14.40,345.60
10477,"2007-03-17 00:00:00","Customer QZURI",Portugal,"Product HHYDP",Beverages,15,14.40,216.00
10522,"2007-04-30 00:00:00","Customer OXFRU",Germany,"Product HHYDP",Beverages,40,18.00,720.00
10526,"2007-05-05 00:00:00","Customer ZHYOS",Finland,"Product HHYDP",Beverages,8,18.00,144.00
10576,"2007-06-23 00:00:00","Customer VONTK",Mexico,"Product HHYDP",Beverages,10,18.00,180.00
10590,"2007-07-07 00:00:00","Customer PVDZC",Canada,"Product HHYDP",Beverages,20,18.00,360.00
10609,"2007-07-24 00:00:00","Customer BSVAR",France,"Product HHYDP",Beverages,3,18.00,54.00
10611,"2007-07-25 00:00:00","Customer CCFIZ",Poland,"Product HHYDP",Beverages,6,18.00,108.00
10628,"2007-08-12 00:00:00","Customer QXVLA",France,"Product HHYDP",Beverages,25,18.00,450.00
10646,"2007-08-27 00:00:00","Customer FRXZL",Ireland,"Product HHYDP",Beverages,15,18.00,270.00
10689,"2007-10-01 00:00:00","Customer HGVLZ",Sweden,"Product HHYDP",Beverages,35,18.00,630.00
10691,"2007-10-03 00:00:00","Customer IRRVL",Germany,"Product HHYDP",Beverages,30,18.00,540.00
10700,"2007-10-10 00:00:00","Customer LCOUJ",USA,"Product HHYDP",Beverages,5,18.00,90.00
10729,"2007-11-04 00:00:00","Customer PSQUZ",Venezuela,"Product HHYDP",Beverages,50,18.00,900.00
10752,"2007-11-24 00:00:00","Customer GCJSG",UK,"Product HHYDP",Beverages,8,18.00,144.00
10838,"2008-01-19 00:00:00","Customer PSQUZ",Venezuela,"Product HHYDP",Beverages,4,18.00,72.00
10847,"2008-01-22 00:00:00","Customer LCOUJ",USA,"Product HHYDP",Beverages,80,18.00,1440.00
10863,"2008-02-02 00:00:00","Customer UMTLM",Venezuela,"Product HHYDP",Beverages,20,18.00,360.00
10869,"2008-02-04 00:00:00","Customer AHPOP",UK,"Product HHYDP",Beverages,40,18.00,720.00
10905,"2008-02-24 00:00:00","Customer SRQVM",Brazil,"Product HHYDP",Beverages,20,18.00,360.00
10911,"2008-02-26 00:00:00","Customer KSLQF",Spain,"Product HHYDP",Beverages,10,18.00,180.00
10918,"2008-03-02 00:00:00","Customer EEALV",Canada,"Product HHYDP",Beverages,60,18.00,1080.00
10935,"2008-03-09 00:00:00","Customer SRQVM",Brazil,"Product HHYDP",Beverages,21,18.00,378.00
11003,"2008-04-06 00:00:00","Customer NLTYP",USA,"Product HHYDP",Beverages,4,18.00,72.00
11005,"2008-04-07 00:00:00","Customer XBBVR",Finland,"Product HHYDP",Beverages,2,18.00,36.00
11006,"2008-04-07 00:00:00","Customer YSIQX",USA,"Product HHYDP",Beverages,8,18.00,144.00
11025,"2008-04-15 00:00:00","Customer ZHYOS",Finland,"Product HHYDP",Beverages,10,18.00,180.00
11031,"2008-04-17 00:00:00","Customer LCOUJ",USA,"Product HHYDP",Beverages,45,18.00,810.00
11035,"2008-04-20 00:00:00","Customer SFOGW",Belgium,"Product HHYDP",Beverages,10,18.00,180.00
11047,"2008-04-24 00:00:00","Customer RFNQC",UK,"Product HHYDP",Beverages,25,18.00,450.00
11070,"2008-05-05 00:00:00","Customer OXFRU",Germany,"Product HHYDP",Beverages,40,18.00,720.00
10255,"2006-07-12 00:00:00","Customer CCKOT",Switzerland,"Product RECZE",Beverages,20,15.20,304.00
10258,"2006-07-17 00:00:00","Customer THHDP",Austria,"Product RECZE",Beverages,50,15.20,760.00
10264,"2006-07-24 00:00:00","Customer CYZTN",Sweden,"Product RECZE",Beverages,35,15.20,532.00
10298,"2006-09-05 00:00:00","Customer FRXZL",Ireland,"Product RECZE",Beverages,40,15.20,608.00
10327,"2006-10-11 00:00:00","Customer CYZTN",Sweden,"Product RECZE",Beverages,25,15.20,380.00
10335,"2006-10-22 00:00:00","Customer FRXZL",Ireland,"Product RECZE",Beverages,7,15.20,106.40
10342,"2006-10-30 00:00:00","Customer AZJED",Germany,"Product RECZE",Beverages,24,15.20,364.80
10393,"2006-12-25 00:00:00","Customer LCOUJ",USA,"Product RECZE",Beverages,25,15.20,380.00
10418,"2007-01-17 00:00:00","Customer IRRVL",Germany,"Product RECZE",Beverages,60,15.20,912.00
10435,"2007-02-04 00:00:00","Customer GYBBY",UK,"Product RECZE",Beverages,10,15.20,152.00
10440,"2007-02-10 00:00:00","Customer LCOUJ",USA,"Product RECZE",Beverages,45,15.20,684.00
10469,"2007-03-10 00:00:00","Customer YBQTI",USA,"Product RECZE",Beverages,40,15.20,608.00
10485,"2007-03-25 00:00:00","Customer PSQUZ",Venezuela,"Product RECZE",Beverages,20,15.20,304.00
10504,"2007-04-11 00:00:00","Customer YBQTI",USA,"Product RECZE",Beverages,12,19.00,228.00
10611,"2007-07-25 00:00:00","Customer CCFIZ",Poland,"Product RECZE",Beverages,10,19.00,190.00
10622,"2007-08-06 00:00:00","Customer QVEPD",Brazil,"Product RECZE",Beverages,20,19.00,380.00
10632,"2007-08-14 00:00:00","Customer SNXOJ",Germany,"Product RECZE",Beverages,30,19.00,570.00
10641,"2007-08-22 00:00:00","Customer UMTLM",Venezuela,"Product RECZE",Beverages,50,19.00,950.00
10703,"2007-10-14 00:00:00","Customer CYZTN",Sweden,"Product RECZE",Beverages,5,19.00,95.00
10714,"2007-10-22 00:00:00","Customer LCOUJ",USA,"Product RECZE",Beverages,30,19.00,570.00
10722,"2007-10-29 00:00:00","Customer LCOUJ",USA,"Product RECZE",Beverages,3,19.00,57.00
10741,"2007-11-14 00:00:00","Customer HFBZG",UK,"Product RECZE",Beverages,15,19.00,285.00
10766,"2007-12-05 00:00:00","Customer QNIVZ",Germany,"Product RECZE",Beverages,40,19.00,760.00
10787,"2007-12-19 00:00:00","Customer XIIWM",France,"Product RECZE",Beverages,15,19.00,285.00
10792,"2007-12-23 00:00:00","Customer CCFIZ",Poland,"Product RECZE",Beverages,10,19.00,190.00
10806,"2007-12-31 00:00:00","Customer NRCSK",France,"Product RECZE",Beverages,20,19.00,380.00
10813,"2008-01-05 00:00:00","Customer QVEPD",Brazil,"Product RECZE",Beverages,12,19.00,228.00
10829,"2008-01-13 00:00:00","Customer LJUCA",UK,"Product RECZE",Beverages,10,19.00,190.00
10851,"2008-01-26 00:00:00","Customer QVEPD",Brazil,"Product RECZE",Beverages,5,19.00,95.00
10852,"2008-01-26 00:00:00","Customer NYUHS",USA,"Product RECZE",Beverages,15,19.00,285.00
10856,"2008-01-28 00:00:00","Customer KBUDE",Mexico,"Product RECZE",Beverages,20,19.00,380.00
10866,"2008-02-03 00:00:00","Customer HGVLZ",Sweden,"Product RECZE",Beverages,21,19.00,399.00
10885,"2008-02-12 00:00:00","Customer SFOGW",Belgium,"Product RECZE",Beverages,20,19.00,380.00
10888,"2008-02-16 00:00:00","Customer KSLQF",Spain,"Product RECZE",Beverages,20,19.00,380.00
10939,"2008-03-10 00:00:00","Customer CQRAA",Italy,"Product RECZE",Beverages,10,19.00,190.00
10991,"2008-04-01 00:00:00","Customer IRRVL",Germany,"Product RECZE",Beverages,50,19.00,950.00
11021,"2008-04-14 00:00:00","Customer IRRVL",Germany,"Product RECZE",Beverages,11,19.00,209.00
11030,"2008-04-17 00:00:00","Customer LCOUJ",USA,"Product RECZE",Beverages,100,19.00,1900.00
11041,"2008-04-22 00:00:00","Customer WNMAF",Switzerland,"Product RECZE",Beverages,30,19.00,570.00
11049,"2008-04-24 00:00:00","Customer YJCBX",Brazil,"Product RECZE",Beverages,10,19.00,190.00
11070,"2008-05-05 00:00:00","Customer OXFRU",Germany,"Product RECZE",Beverages,20,19.00,380.00
11072,"2008-05-05 00:00:00","Customer THHDP",Austria,"Product RECZE",Beverages,8,19.00,152.00
11075,"2008-05-06 00:00:00","Customer CCKOT",Switzerland,"Product RECZE",Beverages,10,19.00,190.00
11077,"2008-05-06 00:00:00","Customer NYUHS",USA,"Product RECZE",Beverages,24,19.00,456.00
10254,"2006-07-11 00:00:00","Customer WNMAF",Switzerland,"Product QOGNU",Beverages,15,3.60,54.00
10263,"2006-07-23 00:00:00","Customer THHDP",Austria,"Product QOGNU",Beverages,28,3.60,100.80
10275,"2006-08-07 00:00:00","Customer CQRAA",Italy,"Product QOGNU",Beverages,12,3.60,43.20
10280,"2006-08-14 00:00:00","Customer HGVLZ",Sweden,"Product QOGNU",Beverages,12,3.60,43.20
10281,"2006-08-14 00:00:00","Customer SIUIH",Spain,"Product QOGNU",Beverages,6,3.60,21.60
10293,"2006-08-29 00:00:00","Customer VONTK",Mexico,"Product QOGNU",Beverages,10,3.60,36.00
10352,"2006-11-12 00:00:00","Customer XYUFB",Portugal,"Product QOGNU",Beverages,10,3.60,36.00
10355,"2006-11-15 00:00:00","Customer HFBZG",UK,"Product QOGNU",Beverages,25,3.60,90.00
10358,"2006-11-20 00:00:00","Customer XIIWM",France,"Product QOGNU",Beverages,10,3.60,36.00
10386,"2006-12-18 00:00:00","Customer KIdPX",Brazil,"Product QOGNU",Beverages,15,3.60,54.00
10387,"2006-12-18 00:00:00","Customer TMXGN",Norway,"Product QOGNU",Beverages,15,3.60,54.00
10446,"2007-02-14 00:00:00","Customer FAPSM",Germany,"Product QOGNU",Beverages,20,3.60,72.00
10465,"2007-03-05 00:00:00","Customer ZRNDE",Denmark,"Product QOGNU",Beverages,25,3.60,90.00
10467,"2007-03-06 00:00:00","Customer CQRAA",Italy,"Product QOGNU",Beverages,28,3.60,100.80
10472,"2007-03-12 00:00:00","Customer AHPOP",UK,"Product QOGNU",Beverages,80,3.60,288.00
10498,"2007-04-07 00:00:00","Customer UMTLM",Venezuela,"Product QOGNU",Beverages,14,4.50,63.00
10512,"2007-04-21 00:00:00","Customer KIdPX",Brazil,"Product QOGNU",Beverages,10,4.50,45.00
10518,"2007-04-25 00:00:00","Customer VONTK",Mexico,"Product QOGNU",Beverages,5,4.50,22.50
10520,"2007-04-29 00:00:00","Customer TMXGN",Norway,"Product QOGNU",Beverages,8,4.50,36.00
10541,"2007-05-19 00:00:00","Customer IBVRG",Brazil,"Product QOGNU",Beverages,35,4.50,157.50
10555,"2007-06-02 00:00:00","Customer LCOUJ",USA,"Product QOGNU",Beverages,18,4.50,81.00
10565,"2007-06-11 00:00:00","Customer PVDZC",Canada,"Product QOGNU",Beverages,25,4.50,112.50
10597,"2007-07-11 00:00:00","Customer LOLJO",Austria,"Product QOGNU",Beverages,35,4.50,157.50
10620,"2007-08-05 00:00:00","Customer IAIJK",Canada,"Product QOGNU",Beverages,5,4.50,22.50
10623,"2007-08-07 00:00:00","Customer AZJED",Germany,"Product QOGNU",Beverages,3,4.50,13.50
10648,"2007-08-28 00:00:00","Customer QVEPD",Brazil,"Product QOGNU",Beverages,15,4.50,67.50
10695,"2007-10-07 00:00:00","Customer XBBVR",Finland,"Product QOGNU",Beverages,20,4.50,90.00
10704,"2007-10-14 00:00:00","Customer WFIZJ",Brazil,"Product QOGNU",Beverages,35,4.50,157.50
10763,"2007-12-03 00:00:00","Customer WVFAF",France,"Product QOGNU",Beverages,20,4.50,90.00
10799,"2007-12-26 00:00:00","Customer GLLAG",Germany,"Product QOGNU",Beverages,20,4.50,90.00
10859,"2008-01-29 00:00:00","Customer AZJED",Germany,"Product QOGNU",Beverages,40,4.50,180.00
10866,"2008-02-03 00:00:00","Customer HGVLZ",Sweden,"Product QOGNU",Beverages,6,4.50,27.00
10883,"2008-02-12 00:00:00","Customer DVFMB",USA,"Product QOGNU",Beverages,8,4.50,36.00
10885,"2008-02-12 00:00:00","Customer SFOGW",Belgium,"Product QOGNU",Beverages,12,4.50,54.00
10893,"2008-02-18 00:00:00","Customer GLLAG",Germany,"Product QOGNU",Beverages,10,4.50,45.00
10895,"2008-02-18 00:00:00","Customer THHDP",Austria,"Product QOGNU",Beverages,110,4.50,495.00
10922,"2008-03-03 00:00:00","Customer IBVRG",Brazil,"Product QOGNU",Beverages,35,4.50,157.50
10946,"2008-03-12 00:00:00","Customer ZRNDE",Denmark,"Product QOGNU",Beverages,25,4.50,112.50
10960,"2008-03-19 00:00:00","Customer UMTLM",Venezuela,"Product QOGNU",Beverages,10,4.50,45.00
10968,"2008-03-23 00:00:00","Customer THHDP",Austria,"Product QOGNU",Beverages,30,4.50,135.00
10979,"2008-03-26 00:00:00","Customer THHDP",Austria,"Product QOGNU",Beverages,80,4.50,360.00
10984,"2008-03-30 00:00:00","Customer LCOUJ",USA,"Product QOGNU",Beverages,20,4.50,90.00
10998,"2008-04-03 00:00:00","Customer CCFIZ",Poland,"Product QOGNU",Beverages,12,4.50,54.00
11000,"2008-04-06 00:00:00","Customer NYUHS",USA,"Product QOGNU",Beverages,30,4.50,135.00
11009,"2008-04-08 00:00:00","Customer KSLQF",Spain,"Product QOGNU",Beverages,12,4.50,54.00
11010,"2008-04-09 00:00:00","Customer LHANT",Italy,"Product QOGNU",Beverages,10,4.50,45.00
11027,"2008-04-16 00:00:00","Customer EEALV",Canada,"Product QOGNU",Beverages,30,4.50,135.00
11031,"2008-04-17 00:00:00","Customer LCOUJ",USA,"Product QOGNU",Beverages,21,4.50,94.50
11051,"2008-04-27 00:00:00","Customer XIIWM",France,"Product QOGNU",Beverages,10,4.50,45.00
11055,"2008-04-28 00:00:00","Customer UMTLM",Venezuela,"Product QOGNU",Beverages,15,4.50,67.50
11073,"2008-05-05 00:00:00","Customer AHXHT",Mexico,"Product QOGNU",Beverages,20,4.50,90.00
10287,"2006-08-22 00:00:00","Customer QVEPD",Brazil,"Product SWNJY",Beverages,20,11.20,224.00
